"Countryname","Countrycode","YEAR","GDPP","GDPPG","PPP","POPG","g_cal","ERP","ERS","ERT","LEXT","GEHT","RP","RG","AF","CTP","INV","INF","EXG","DEV","ICTT","ICTM","ICTI","ICTE","CPT","g","logit_g","logCPT","logINV","logINF","logEXG","logPPP","logg","devICTI","numDEV"
"Australia","AU",2005,33999.2428575835,1.85103126483629,32575.0692539649,1.31978955436191,0.138385382298209,102.73932,NA,NA,80.8414634146341,16.3349702954292,32,219,260,"5191013",117.57,2.69183168316831,3.45881202639941,"1",50.1522905026825,91.29,9.99081202108775,63,5191013,1.682,1,15.4624394191407,4.76703390087965,0.990221885001687,1.24092518514198,10.3913025279759,0.519983561550756,9.99081202108775,1
"Australia","AU",2006,36044.9228108485,1.2892596739831,34290.5244809896,1.47522794532757,0.117775133506653,103.30405,NA,NA,81.0414634146342,16.5100425481796,36,220,272,"5741962",128.221,3.55528773727028,2.97127606046685,"1",48.4256711985592,96.27,19.0000118384689,66,5741962,1.133,1,15.5633115217381,4.853755337624,1.26843599873379,1.08899151053032,10.4426243407903,0.124868982045869,19.0000118384689,1
"Australia","AU",2007,40960.0544948199,3.19763845544081,36546.4731913052,0.624678435014185,-0.576554635510598,105.18305,NA,NA,81.2926829268293,16.9368356466293,65,234,254,"6290090",143.971,2.32761128891476,4.14156178562625,"1",46.66207440459,101.64,NA,69.45,6290090,2.497,1,15.6544859370003,4.96961189040565,0.844842543812143,1.4210729596039,10.5063399678083,0.915090011297636,NA,1
"Australia","AU",2008,49601.6567082178,1.60126223678816,37459.307649507,2.00402174031569,2.2080853571809,105.14112,NA,NA,81.3951219512195,16.564667224884,79,236,239,"6102342.1952",104.158,4.35029854990047,4.00909042689919,"1",43.9240396315781,103.69,24.9152903566529,71.67,6102342.195,0.469,1,15.6241832218408,4.64590897704703,1.47024447490654,1.38856438937984,10.5310104934329,-0.757152510535858,24.9152903566529,1
"Australia","AU",2009,42772.3591664498,-0.142541245499331,40301.9577592293,2.0610451296841,0.0284544764267014,105.30213,NA,NA,81.5439024390244,16.162146627903,84,237,291,"6200325.48531488",98.0009,1.77111716621252,2.40468540987528,"1",49.234855224745,102.06,24.0036585235217,74.25,6200325.485,0.063,1,15.640112346218,4.58497666230187,0.571610514835105,0.877419088297116,10.6041553263883,-2.7646205525906,24.0036585235217,1
"Australia","AU",2010,52022.1255961876,0.492100955776877,39301.602648302,1.55548958906995,-0.24529086400531,105.61943,NA,NA,81.6951219512195,16.2632510066032,73,238,306,"6412164",129.55,2.91834002677376,4.69796858061129,"1",47.9582665133627,101.56,24.8705927989297,76,6412164,0.944,1,15.6737073694275,4.86406690700812,1.07101497065032,1.54713019839215,10.5790205768809,-0.0576291128366364,24.8705927989297,1
"Australia","AU",2011,62517.8337471503,1.04888379967608,41965.3584189919,1.38952731561803,-0.106694557532302,105.68968,NA,NA,81.8951219512195,16.6499063372612,NA,231,300,"5946383",101.896,3.30385015608744,0.860185940661438,"1",46.9118800731263,105.55,24.6339504554996,79.4876977139029,5946383,1.245,1,15.5982936935165,4.62395268528746,1.19508850235651,-0.150606703033173,10.6445997573834,0.219135529916671,24.6339504554996,1
"Australia","AU",2012,68012.1479005934,2.1196825044921,42826.789579996,1.74582000067359,0.256412868643096,105.98445,NA,NA,82.0463414634146,16.2546455860138,NA,NA,285,"7251198",85.756,1.76278015613193,4.60306750246677,"1",45.717009137464,106.26,25.0393512943707,79,7251198,1.963,1,15.7966772545593,4.45150605444369,0.566892196906184,1.52672292961282,10.6649191105269,0.674473915294324,25.0393512943707,1
"Australia","AU",2013,68150.1070413215,0.834341933212656,45902.047948361,1.721151439989,-0.0141300710697965,105.99385,NA,NA,82.1487804878049,16.5274858474731,NA,NA,207,"7179668",87.4227,2.44988864142539,5.30322209236596,"1",44.5067242350036,107.25,25.7192963912615,83.453497167,7179668,0.506,1,15.786763700401,4.47075497433914,0.896042571044208,1.66831457779207,10.7342650126647,-0.681218609694672,25.7192963912615,1
"Australia","AU",2014,62510.7911705641,1.01511499278639,46880.2206571585,1.49156648912847,-0.133390325526496,105.45709,NA,NA,82.3,16.6288748383522,NA,NA,195,"7404551",85.8041,2.48792270531403,5.95300433071515,"1",38.9465793630425,106.2,27.6991123739767,84,7404551,1.095,1,15.8176053691394,4.45206679090001,0.911448107398375,1.78389602165548,10.7553511310905,0.0907543632684641,27.6991123739767,1
"Australia","AU",2015,56755.7217124249,0.732399751351792,46276.1506853863,1.43921665259925,-0.0350972195411873,101.59991,157.16766,118.61086,82.4,17.2287344932556,NA,NA,192,"7633532",87.5509,1.50836672165921,6.83138495777396,"1",35.5165540151214,107.68,28.530238919441,84.560519347399,7633532,0.837,1,15.8480612057186,4.47222033851912,0.411027424145443,1.92152742868886,10.7423820033754,-0.177931208492662,28.530238919441,1
"Australia","AU",2016,49971.131456129,1.17791143324995,47349.9279542726,1.56194049810399,0.0852712795416164,100.74441,153.0132,120.96571,82.4487804878049,17.4848884344101,NA,NA,186,"7689776",95.4801,1.27699094497328,6.83999662495383,"1",34.9507507652071,109.43,30.3923155828582,86.54,7689776,1.069,1,15.855402212319,4.55891784880984,0.244506486166437,1.92278723820653,10.765320577056,0.0667236320429081,30.3923155828582,1
"Australia","AU",2017,54066.4712686117,0.657653883814675,48905.4171954152,1.68452310845434,0.078480973186335,100.33898,150.31148,113.14216,82.5,17.797327041626,NA,NA,206,"8010472",106.139,1.94864740944522,5.51703666586785,"1",34.4117582456023,111.71,32.2233982058702,86.54504885,8010472,0.874,1,15.8962602436505,4.66474955583662,0.667135495716839,1.70784088024752,10.7976434504195,-0.134674903326602,32.2233982058702,1
"Australia","AU",2018,57395.9194663167,1.37114449535596,51036.4058896921,1.53610551570388,-0.0881065934955577,NA,NA,NA,82.7487804878049,NA,NA,NA,213,"8747113",NA,1.91140094445692,4.10176866675098,"1",32.4923713213736,113.58,30.6850082688868,NA,8747113,1.106,1,15.9842342610335,NA,0.647836451967702,1.41141826282612,10.8402944980175,0.100749903100143,30.6850082688868,1
"Brunei Darussalam","BN",1990,13607.5220957631,-1.7484336060365,55913.6509345373,2.84742834216186,0.000734521251880338,NA,NA,NA,70.185,NA,NA,NA,555,NA,NA,2.13866293163794,1.2775609121757,"1",NA,NA,NA,NA,NA,-1.747,0,NA,NA,0.760180835465935,0.244952722722788,10.9315638320951,NA,NA,1
"Brunei Darussalam","BN",1991,13905.0638689698,0.244247380003486,57945.700008129,2.8535209991718,0.00213970512259287,111.09431,73.19567,NA,70.439,NA,NA,NA,234,NA,NA,1.60000000000001,8.76907412770869,"1",NA,NA,NA,NA,NA,0.344,1,NA,NA,0.470003629245742,2.17123122814371,10.9672616442569,-1.06711362160874,NA,1
"Brunei Darussalam","BN",1992,15274.4446317273,1.82035914479542,60345.087648023,2.84483971069455,-0.00304230754908386,111.47164,73.89987,5.3119,70.696,NA,NA,NA,312,NA,NA,1.27952755905517,6.04190055334561,"1",NA,NA,NA,NA,NA,2.125,1,NA,NA,0.246490915311241,1.79871862360122,11.0078348254997,0.75377180237638,NA,1
"Brunei Darussalam","BN",1993,14575.7298211504,-2.46903385871087,60249.5903903654,2.80413568658731,-0.0143080202213932,113.4731,75.79666,5.4181,70.951,NA,NA,NA,448,NA,NA,4.25170068027211,-2.78708770141891,"1",NA,NA,NA,NA,NA,-2.009,0,NA,NA,1.44731906295767,NA,11.0062510528296,NA,NA,1
"Brunei Darussalam","BN",1994,14120.8549888131,0.375530079812506,61767.2340779139,2.7221164773717,-0.0292493724921811,114.80486,76.27495,5.61863,71.207,NA,NA,NA,567,NA,NA,2.46251844946788,2.84884755667103,"1",NA,NA,NA,NA,NA,0.361,1,NA,NA,0.901184586205738,1.04691454642221,11.0311283099298,-1.01887732064926,NA,1
"Brunei Darussalam","BN",1995,15933.3455733721,1.78510522676586,64188.1187531171,2.61195137974137,-0.0404703834483595,113.86791,NA,NA,71.465,NA,NA,NA,26,NA,NA,5.96664139499613,16.8136906623839,"1",NA,NA,NA,NA,NA,2.223,1,NA,NA,1.78618418869412,2.82219347492188,11.0695734064004,0.798857634982059,NA,1
"Brunei Darussalam","BN",1996,16793.2809740578,0.342682075310563,65587.4117428691,2.49557601834616,-0.0445549493370482,112.54647,NA,NA,71.727,NA,NA,NA,20,NA,NA,1.99613650998079,-3.4435885920814,"1",NA,NA,NA,NA,NA,0.366,1,NA,NA,0.691213567324604,NA,11.0911390623546,-1.00512194558077,NA,1
"Brunei Darussalam","BN",1997,16660.3612477895,-3.78817413453541,64190.986221505,2.37968996405105,-0.0464365955768034,110.34797,NA,NA,71.994,NA,NA,NA,52,NA,NA,1.71156004489334,-5.06804273750046,"1",NA,NA,NA,NA,NA,-3.827,0,NA,NA,0.53740526157068,NA,11.0696180782866,NA,NA,1
"Brunei Darussalam","BN",1998,12693.7909769053,-2.79758135565972,63097.4617842894,2.27738482246088,-0.0429909539207417,112.46375,81.0034,9.65255,72.265,NA,NA,NA,52,NA,NA,-0.441379310344899,-9.95221631080734,"1",NA,NA,NA,NA,NA,-3.066,0,NA,NA,NA,NA,11.0524358224316,NA,NA,1
"Brunei Darussalam","BN",1999,14101.345758867,0.819955362494866,64533.3059366804,2.18989341682547,-0.0384174886793481,111.8441,84.21439,11.96783,72.538,NA,NA,NA,119,NA,NA,-0.415627597672449,13.961573251161,"1",NA,NA,NA,NA,NA,0.647,1,NA,NA,NA,2.63630878805896,11.0749367406215,-0.435408984481236,NA,1
"Brunei Darussalam","BN",2000,18012.5562597047,0.70238441685602,66439.336137831,2.10965170023154,-0.0366418365283963,110.18191,84.64923,12.68709,72.809,5.72010241448879,NA,NA,103,NA,NA,1.55815247634947,11.8894109753348,"1",24.1622019119655,28.51,NA,8.99628453448726,NA,0.351,1,NA,NA,0.443500809379735,2.47564816997471,11.1040445717723,-1.04696905551627,NA,1
"Brunei Darussalam","BN",2001,16472.1486214944,0.668516263266412,68350.5334101238,2.04077498519585,-0.0326483822083666,107.31913,85.06244,14.24075,73.076,5.971609801054,NA,NA,68,NA,NA,0.595890410958983,1.30303618601519,"1",26.0091637895034,42.06,0.55759129969356,12.9177690823013,NA,0.262,1,NA,NA,-0.51769850305362,0.264697069065757,11.13240464622,-1.33941077522104,0.55759129969356,1
